country,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience,Latitude,Longitude
USA,College degree,Woman,White,54000,5,40.0792,-98.8164
USA,College degree,Woman,White,32000,2,40.0792,-98.8164
USA,College degree,Woman,White,63000,5,40.0792,-98.8164
USA,College degree,Woman,White,94000,5,40.0792,-98.8164
USA,College degree,Man,White,93000,2,40.0792,-98.8164
USA,College degree,Woman,White,72000,8,40.0792,-98.8164
USA,College degree,Woman,White,82400,11,40.0792,-98.8164
USA,College Degree,Man,White,51000,5,40.0792,-98.8164
USA,College degree,Man,Another option not listed here or prefer not to answer,95000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,76000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,92500,21,40.0792,-98.8164
USA,PhD,Prefer not to answer,Another option not listed here or prefer not to answer,70000,1,40.0792,-98.8164
USA,College degree,Man,White,119000,11,40.0792,-98.8164
USA,PhD,Woman,White,92000,8,40.0792,-98.8164
USA,College degree,Woman,White,183000,11,40.0792,-98.8164
USA,High School,Man,White,107000,31,40.0792,-98.8164
USA,Master's degree,Woman,White,136850,11,40.0792,-98.8164
USA,College degree,Woman,White,40000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,58000,5,40.0792,-98.8164
USA,College degree,Woman,White,66000,2,40.0792,-98.8164
USA,Master's degree,Man,White,66000,2,40.0792,-98.8164
USA,College degree,Woman,White,54000,8,40.0792,-98.8164
USA,College Degree,Woman,White,85000,1,40.0792,-98.8164
USA,Master's degree,Woman,White,155000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,53000,11,40.0792,-98.8164
USA,College degree,Woman,White,42000,2,40.0792,-98.8164
USA,College degree,Man,White,80000,2,40.0792,-98.8164
USA,Master's degree,Non-binary,White,44777,5,40.0792,-98.8164
USA,College degree,Woman,White,103550,21,40.0792,-98.8164
USA,College Degree,Woman,White,40000,11,40.0792,-98.8164
USA,College degree,Woman,White,150000,11,40.0792,-98.8164
USA,College degree,Woman,White,37000,2,40.0792,-98.8164
USA,College degree,Woman,White,110400,8,40.0792,-98.8164
USA,Master's degree,Woman,White,200000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,69000,11,40.0792,-98.8164
USA,College degree,Woman,White,94257,11,40.0792,-98.8164
USA,College degree,Woman,White,41000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,91000,5,40.0792,-98.8164
USA,PhD,Woman,White,72300,5,40.0792,-98.8164
USA,College degree,Woman,White,82000,8,40.0792,-98.8164
USA,Master's degree,Non-binary,White,36000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,110250,8,40.0792,-98.8164
USA,Master's degree,Woman,White,117000,11,40.0792,-98.8164
USA,College degree,Woman,White,114000,11,40.0792,-98.8164
USA,College degree,Man,Asian or Asian American,57000,5,40.0792,-98.8164
USA,College degree,Woman,Another option not listed here or prefer not to answer,52200,5,40.0792,-98.8164
USA,College degree,Woman,White,42000,2,40.0792,-98.8164
USA,College degree,Woman,White,68000,1,40.0792,-98.8164
USA,College degree,Woman,White,75000,11,40.0792,-98.8164
USA,College degree,Woman,White,91000,11,40.0792,-98.8164
USA,College degree,Prefer not to answer,Black or African American,44000,2,40.0792,-98.8164
USA,College degree,Woman,White,52000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,111433,5,40.0792,-98.8164
USA,College degree,Woman,White,58000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,56000,8,40.0792,-98.8164
USA,Master's degree,Man,White,158000,21,40.0792,-98.8164
